Sl. No.,States / Union Territories,Annual Replenishable Ground Water Resource,Column_3,Column_4,Column_5,Column_6,Natural Discharge during non- monsoon season,Net Annual Ground Water Availability,Annual Ground Water Draft,Column_10,Column_11,Projected demand for Domestic and Industrial uses upto 2025,Ground Water Availability for future irrigation,Stage of Ground Water Development (%),Sl. No._1,District,Natural,Net Ground Water Availability,Projected demand for Domestic and Industrial uses upto 2025_1,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)_1,Provision for Natural Discharges,Net Annual Ground Water Availability_1,Union Territory,Islands,Region,States / Union Territories_1,Total No. of Assessed Units,Safe,Semi-critical,Critical,Column_8,Over-exploited,Saline,Column_12,Sl. No. DISTRICT SEMI-CRITICAL CRITICAL OVER EXPLOITED Saline,No. of Assessed Blocks,Semi Critical,Sl.no. District Semi-critical Critical Over-exploited Saline,Sl. No. District Semi-critical Critical Over-exploited Saline,No of Assessed Blocks,Over Exploited,No. of Assessed Tehsils,Sl. NO.District Semi Critical Critical Over-Exploited Saline,No. of Assessed Units,Sl. No. District Semi critical Critical Over exploited Saline,No. of block Assessed,Semi critical,Over-exploted,Sl. No. DISTRICT Semi-critical Critical Over-exploited Saline,No. of Assessed VALLEY,Sl No Districts Semi-critical Critical Over-Exploited Saline,Sr.No. District Semi-Critical Critical Over-exploited Saline,Sl.No. District: Semi-Critical Critical Over-Exploited Saline,Sl. No. District Semi-Critical Critical Over-Exploited Saline,Sl.No District Semi Critical Critical Over Exploited Saline,CATEGORISATION OF BLOCKS IN TAMIL NADU,Column_1,Column_2,S. No. DISTRICT NAME SEMI-CRITICAL CRITICAL OVER-EXPLOITED SALINE,CATEGORIZTION OF BLOCKS IN UTTAR PRADESH,S. No. District Semi-critical Critical Over-Exploited Saline,Over-Exploited,Sl. No. Union Territory Semi-critical Critical Over-exploited Saline,S. No. Islands Semi-Critical Critical Over-exploited Saline,No. of Assessed Islands,No. of Assessed Regions,Parameter,Normal,Assessment year,Total (Command/Non-command),Soil Type,:,Sandy to sandy loams Soil,Type of Structure,Monsoon Season,Non-Monsoon Season,Data Source,Name of canal segment,Lined or unlined,Length of canal (m),Wetted perimeter (m),Wetted area (m.sqm),Seepage factor (ham per day per million square meters of wetted area),No of running days,Column_7,Seepage(ham),Column_9,Data Source_1,Name of (canal) Outlet,Irrigation Water Applied (ham),Return Flow Factor (Command area),Recharg e from Surface Water Irrigatio n (ham),Irrigatio n Water Applied (ham),Recharge from Surface Water Irrigatio n (ham),Irrigation Water Applied (GW Draft) (ham),Recharge from Ground Water Irrigation (ham),Name of Tanks/ Ponds,Average Water Spread Area (ha),No. of days water is available,Recharge from Tanks and Ponds (0.00144 *2*3),Column_0,Agriculture Deptt.,Sr. No,Name of the Structure,No. of structures,Gross Storage [ha.m],Recharge ( ham ),Normal Rainfall (m),Rainfall Infiltration Factor,Assessment Area (ha),Rainfall Recharge (ham) (1*2*3),Average pre- monsoon Depth to Water level (m bgl),Average post- monsoon Depth to Water level (m bgl),Water Level Fluctuation (m) (1-2),Rock Type,Specif ic Yield,Average Water Level Fluctuation (m),Change in Storage (ham),Ground Water Draft (ham),Ground Water Recharge (ham) (5+6),Recharge from Other Sources (ham),Rainfall Recharg e (ham) (8-7),Assessment Year,Rainfall Recharge,Rainfall for the corresponding Year,Recharge corresponding to Normal Rainfall (Normal Monsoon Rainfall *[2]/[3]),Projected population density at year 2025,Domestic & Industrial Water Supply Requirement (lpcd),Extend of Dependenc e on Ground Water,Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (mm) [(22/60000)*(1)* (2)*(3)],Area,Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (ham) [(5)*(4)/1000],Net Annual Ground Water Availability (ham),Annual Ground Water Draft for Irrigation use (ham),Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (ham),Net Ground Water Availability for future Irrigation (ham) [(1)-(2)-(3)],Annual Replenishable Ground Water Resources,Natural Discharg e during monsoon season,Net Annual Ground Water Availabili ty,Annual Ground Water Draft_1,Net Ground Water Availability for future Irrigation (ham),Stage of Ground Water Development (%)_2
,,26200,8525,1862,11629,48216,,,23995,2663,26658,,,,4,Bhadrak,2807,45409,3418,17996,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45972,5958,3265,5599,60794,,,10045,3091,13136,,,,5,Bolangir,3138,57656,3421,44191,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14105,7742,1930,6123,29900,,,4698,910,5608,,,,6,Boudh,2061,27839,1265,21876,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38608,12326,2430,22353,75717,,,20774,6089,26863,,,,7,Cuttack,5001,70716,7620,42322,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13351,4256,0,4566,22173,,,2657,664,3321,,,,8,Deogarh,1544,20629,949,17023,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36582,3574,2820,3896,46872,,,8724,2797,11521,,,,9,Dhenkanal,2608,44264,3340,32200,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10985,3549,5802,3673,24009,,,5081,1140,6221,,,,10,Gajapati,1339,22670,1302,16286,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52792,33115,21513,15650,123070,,,27508,7334,34842,,,,11,Ganjam,8529,114541,9475,77558,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20734,9595,2328,16026,48683,,,21234,1970,23204,,,,12,Jagatsinghpur,3654,45029,2463,21332,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39472,4761,7385,8786,60404,,,25515,2190,27705,,,,13,Jajpur,3471,56933,2999,28419,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14605,1572,0,1600,17777,,,3590,1563,5153,,,,14,Jharsuguda,986,16791,1757,11444,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49321,15576,0,15088,79985,,,10619,4312,14931,,,,15,Kalahandi,5074,74911,9644,54648,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46661,5696,16364,5610,74331,,,7071,1776,8847,,,,16,Kandhamal,4065,70266,2530,60665,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5926,4318,179,7282,17705,,,8917,673,9590,,,,17,Kendrapara,924,16781,830,7034,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,67852,5920,4720,7605,86097,,,18894,4395,23289,,,,18,Keonjhar,4774,81323,4787,57642,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27948,7316,8884,6639,50787,,,10478,5227,15705,,,,19,Khurda,3169,47618,7673,29467,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56710,7072,4249,5587,73618,,,3362,3409,6771,,,,20,Koraput,4501,69117,3905,61850,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25865,5111,1091,3824,35891,,,1858,1330,3188,,,,21,Malkangiri,2293,33598,1853,29887,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,87685,31446,10090,29333,158554,,,37272,6469,43741,,,,22,Mayurbhanj,10360,148194,8384,102538,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46035,1724,3824,1615,53198,,,4606,2986,7592,,,,23,Nabarangapur,2720,50478,6630,39242,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25801,6297,6747,6714,45559,,,8293,2056,10349,,,,24,Nayagarh,2877,42682,2489,31900,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25491,5113,0,5314,35918,,,5511,1522,7033,,,,25,Nuapada,2232,33686,3262,24913,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35384,7829,11480,8202,62895,,,9039,3259,12298,,,,26,Puri,4089,58806,4136,45631,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42949,10007,7779,9408,70143,,,6944,2774,9718,,,,27,Rayagada,4462,65681,3161,55576,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34746,10749,0,10989,56484,,,5941,2594,8535,,,,28,Sambalpur,3964,52520,3181,43398,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17161,2348,607,2531,22647,,,2970,1273,4243,,,,29,Subarnapur,1218,21429,1606,16853,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65419,9060,0,7621,82100,,,12471,4628,17099,,,,30,Sundergarh,4775,77325,5389,59465,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1129184,252704,132929,262862,1777679,,,381258,91622,472880,,,,State Total (ham),None,108593,1669086,124175,1163653,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11.29,2.53,1.33,2.63,17.78,,,3.81,0.92,4.73,,,,State Total (bcm),None,1.09,16.69,1.24,11.64,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Monsoon Season,None,Non Monsoon Season,None,Total,,,Irrigation,"Domestic &
Industrial
Water
Supply",Total,,,,None,None,"Discharge
During Non",None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Recharge
from Rainfall","Recharge
From Other
Sources","Recharge
from
Rainfall","Recharge
From Other
Sources",None,,,None,None,None,,,,None,None,"Monsoon
Period",None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,4,5,6,7,,,10,11,12,,,,1,2,8,9,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31831,73083,8390,23767,137072,,,217150,5008,222158,,,,1,Amritsar,13707,123365,7810,-101596,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12058,34679,2239,16512,65488,,,118878,1254,120132,,,,2,Barnala,6549,58939,1839,-61778,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27051,37913,5030,41144,111138,,,118446,3005,121452,,,,3,Bathinda,9458,101681,4500,-21266,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12575,35926,2187,17158,67846,,,95603,1943,97546,,,,4,Faridkot,6785,61061,1943,-36485,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16209,30474,3685,9542,59910,,,111180,2076,113256,,,,5,Fateh Garh Sahib,5991,53919,2702,-59963,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40799,114703,8670,46442,210614,,,275576,3375,278951,,,,6,Ferozepur,21061,189552,4989,-91013,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57702,92053,15253,31224,196232,,,219741,6637,226378,,,,7,Gurdaspur,18612,177621,9313,-51433,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48029,27202,12219,11075,98525,,,87047,4917,91963,,,,8,Hoshiarpur,8752,89774,6248,-3522,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36096,61810,8341,24282,130529,,,267002,4729,271731,,,,9,Jalandhar,13053,117476,6813,-156339,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21559,38424,5914,7458,73355,,,150588,3900,154488,,,,10,Kapurthala,7335,66019,4693,-89261,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48155,110670,10141,62300,231265,,,336828,11229,348057,,,,11,Ludhiana,23127,208139,16442,-145131,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17834,35437,3586,20529,77386,,,144741,13,144754,,,,12,Mansa,7739,69647,13,-75107,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21876,77174,4277,30642,133969,,,242148,1802,243949,,,,13,Moga,13397,120572,2378,-123953,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20934,28256,3921,33460,86571,,,51625,2460,54085,,,,14,Muktsar,8657,77914,2460,23829,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20248,28986,4971,15512,69718,,,70742,1515,72256,,,,15,Nawan Shahr,6972,62746,1887,-9883,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,44007,79988,9392,32670,166056,,,288631,4348,292979,,,,16,Patiala,16606,149451,6675,-145855,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18731,13350,4327,9215,45623,,,43775,2384,46159,,,,17,Ropar,3794,41829,3191,-5136,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19496,4665,4263,2113,30538,,,23576,4618,28194,,,,18,Mohali,3054,27484,5535,-1626,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40154,76431,9016,19456,145057,,,366396,3031,369427,,,,19,Sangrur,14506,130551,4445,-240290,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27149,62516,7297,19040,116002,,,187566,2664,190230,,,,20,Tarn Taran,11600,104402,4217,-87381,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,582493,1063741,133119,473541,2252894,,,3417238,70907,3488145,,,,State Total (ham),None,220752,2032142,98094,-1483189,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5.82,10.64,1.33,4.74,22.53,,,34.17,0.71,34.88,,,,State Total (bcm),None,2.21,20.32,0.98,-14.83,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Monsoon Season,None,Non Monsoon Season,None,Total,,,Irrigation,"Domestic &
Industrial
Water
Supply",Total,,,,None,None,"Discharge
During Non",None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Recharge
from Rainfall","Recharge
From Other
Sources","Recharge
from
Rainfall","Recharge
From Other
Sources",None,,,None,None,None,,,,None,None,"Monsoon
Period",None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,4,5,6,7,,,10,11,12,,,,1,2,8,9,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27610,1489,0,6412,35511,,,41547,4691,46238,,,,1,Ajmer,3305,32206,4691,0,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57442,3380,7575,11154,79551,,,121552,9566,131118,,,,2,Alwar,6382,73169,9595,399,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10540,1050,0,14171,25761,,,9231,1961,11192,,,,3,Banswara,2696,23066,2853,10982,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36263,5759,279,9666,51967,,,52596,3938,56534,,,,4,Baran,4804,47163,4475,5562,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25196,622,0,1435,27253,,,23901,6766,30666,,,,5,Barmer,2524,24729,6847,2117,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36864,2580,1672,8134,49250,,,45839,6378,52218,,,,6,Bharatpur,4314,44936,6569,396,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33176,2310,0,10945,46431,,,50198,3980,54178,,,,7,Bhilwara,4476,41955,3980,0,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24004,235,0,1026,25265,,,25867,8374,34241,,,,8,Bikaner,1263,24001,9033,4011,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22293,2754,0,17217,42265,,,33669,2711,36380,,,,9,Bundi,5970,36295,3472,5328,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25898,1833,0,7546,35276,,,43227,1379,44606,,,,10,Chittorgarh,3417,31860,1379,0,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
