Sl. No.,States / Union Territories,Annual Replenishable Ground Water Resource,Column_3,Column_4,Column_5,Column_6,Natural Discharge during non- monsoon season,Net Annual Ground Water Availability,Annual Ground Water Draft,Column_10,Column_11,Projected demand for Domestic and Industrial uses upto 2025,Ground Water Availability for future irrigation,Stage of Ground Water Development (%),Sl. No._1,District,Natural,Net Ground Water Availability,Projected demand for Domestic and Industrial uses upto 2025_1,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)_1,Provision for Natural Discharges,Net Annual Ground Water Availability_1,Union Territory,Islands,Region,States / Union Territories_1,Total No. of Assessed Units,Safe,Semi-critical,Critical,Column_8,Over-exploited,Saline,Column_12,Sl. No. DISTRICT SEMI-CRITICAL CRITICAL OVER EXPLOITED Saline,No. of Assessed Blocks,Semi Critical,Sl.no. District Semi-critical Critical Over-exploited Saline,Sl. No. District Semi-critical Critical Over-exploited Saline,No of Assessed Blocks,Over Exploited,No. of Assessed Tehsils,Sl. NO.District Semi Critical Critical Over-Exploited Saline,No. of Assessed Units,Sl. No. District Semi critical Critical Over exploited Saline,No. of block Assessed,Semi critical,Over-exploted,Sl. No. DISTRICT Semi-critical Critical Over-exploited Saline,No. of Assessed VALLEY,Sl No Districts Semi-critical Critical Over-Exploited Saline,Sr.No. District Semi-Critical Critical Over-exploited Saline,Sl.No. District: Semi-Critical Critical Over-Exploited Saline,Sl. No. District Semi-Critical Critical Over-Exploited Saline,Sl.No District Semi Critical Critical Over Exploited Saline,CATEGORISATION OF BLOCKS IN TAMIL NADU,Column_1,Column_2,S. No. DISTRICT NAME SEMI-CRITICAL CRITICAL OVER-EXPLOITED SALINE,CATEGORIZTION OF BLOCKS IN UTTAR PRADESH,S. No. District Semi-critical Critical Over-Exploited Saline,Over-Exploited,Sl. No. Union Territory Semi-critical Critical Over-exploited Saline,S. No. Islands Semi-Critical Critical Over-exploited Saline,No. of Assessed Islands,No. of Assessed Regions,Parameter,Normal,Assessment year,Total (Command/Non-command),Soil Type,:,Sandy to sandy loams Soil,Type of Structure,Monsoon Season,Non-Monsoon Season,Data Source,Name of canal segment,Lined or unlined,Length of canal (m),Wetted perimeter (m),Wetted area (m.sqm),Seepage factor (ham per day per million square meters of wetted area),No of running days,Column_7,Seepage(ham),Column_9,Data Source_1,Name of (canal) Outlet,Irrigation Water Applied (ham),Return Flow Factor (Command area),Recharg e from Surface Water Irrigatio n (ham),Irrigatio n Water Applied (ham),Recharge from Surface Water Irrigatio n (ham),Irrigation Water Applied (GW Draft) (ham),Recharge from Ground Water Irrigation (ham),Name of Tanks/ Ponds,Average Water Spread Area (ha),No. of days water is available,Recharge from Tanks and Ponds (0.00144 *2*3),Column_0,Agriculture Deptt.,Sr. No,Name of the Structure,No. of structures,Gross Storage [ha.m],Recharge ( ham ),Normal Rainfall (m),Rainfall Infiltration Factor,Assessment Area (ha),Rainfall Recharge (ham) (1*2*3),Average pre- monsoon Depth to Water level (m bgl),Average post- monsoon Depth to Water level (m bgl),Water Level Fluctuation (m) (1-2),Rock Type,Specif ic Yield,Average Water Level Fluctuation (m),Change in Storage (ham),Ground Water Draft (ham),Ground Water Recharge (ham) (5+6),Recharge from Other Sources (ham),Rainfall Recharg e (ham) (8-7),Assessment Year,Rainfall Recharge,Rainfall for the corresponding Year,Recharge corresponding to Normal Rainfall (Normal Monsoon Rainfall *[2]/[3]),Projected population density at year 2025,Domestic & Industrial Water Supply Requirement (lpcd),Extend of Dependenc e on Ground Water,Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (mm) [(22/60000)*(1)* (2)*(3)],Area,Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (ham) [(5)*(4)/1000],Net Annual Ground Water Availability (ham),Annual Ground Water Draft for Irrigation use (ham),Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (ham),Net Ground Water Availability for future Irrigation (ham) [(1)-(2)-(3)],Annual Replenishable Ground Water Resources,Natural Discharg e during monsoon season,Net Annual Ground Water Availabili ty,Annual Ground Water Draft_1,Net Ground Water Availability for future Irrigation (ham),Stage of Ground Water Development (%)_2
8,Gujarat,12.79,2.55,0.00,3.23,18.57,0.98,17.59,10.75,1.11,11.86,1.48,5.87,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Haryana,3.65,2.77,1.01,3.35,10.78,0.99,9.79,12.35,0.71,13.05,0.76,-3.31,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Himachal Pradesh,0.39,0.02,0.10,0.05,0.56,0.03,0.53,0.25,0.13,0.38,0.13,0.15,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Jammu & Kashmir,1.45,2.06,0.36,0.37,4.25,0.43,3.83,0.20,0.61,0.81,0.76,2.87,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Jharkhand,4.75,0.13,1.06,0.36,6.31,0.55,5.76,1.31,0.55,1.86,0.76,3.69,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Karnataka,6.81,4.17,2.67,3.38,17.03,2.22,14.81,8.59,0.82,9.41,1.06,6.53,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Kerala,4.85,0.06,0.63,1.15,6.69,0.61,6.07,1.30,1.53,2.84,1.71,3.07,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Madhya Pradesh,28.22,1.17,0.79,4.87,35.04,1.75,33.29,17.48,1.35,18.83,1.91,13.90,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Maharashtra,22.36,1.68,1.84,8.07,33.95,1.80,32.15,16.15,1.03,17.18,1.97,14.48,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Manipur,0.23,0.01,0.19,0.01,0.44,0.04,0.40,0.0033,0.0007,0.004,0.05,0.35,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Meghalaya,1.68,0.03,0.07,0.005,1.78,0.18,1.60,0.0015,0.0002,0.0017,0.232,1.37,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Mizoram,0.0257,Negligible,0.005,Negligible,0.030,0.003,0.027,0.00,0.001,0.001,0.002,0.025,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Nagaland,0.40,Negligible,0.21,Negligible,0.62,0.062,0.55,0.00,0.03,0.03,0.04,0.51,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Odisha,11.29,2.53,1.33,2.63,17.78,1.09,16.69,3.81,0.92,4.73,1.24,11.64,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Punjab,5.82,10.64,1.33,4.74,22.53,2.21,20.32,34.17,0.71,34.88,0.98,-14.83,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Rajasthan,8.78,0.68,0.28,2.20,11.94,1.11,10.83,13.13,1.71,14.84,1.89,0.91,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sikkim,,-,-,-,-,-,0.044,0.003,0.009,0.011,0.01,0.031,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Tamil Nadu,7.38,10.28,1.69,2.18,21.53,2.15,19.38,13.17,1.76,14.93,1.82,4.39,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tripura,1.248,0.000,0.740,0.598,2.587,0.229,2.358,0.093,0.069,0.163,0.200,2.065,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Uttar Pradesh,42.13,11.57,5.15,18.34,77.19,5.53,71.66,48.74,4.04,52.78,6.55,19.64,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Uttarakhand,1.09,0.26,0.20,0.49,2.04,0.04,2.00,1.10,0.03,1.13,0.09,0.80,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,West Bengal,18.53,5.72,1.42,3.58,29.25,2.67,26.58,9.72,0.97,10.69,1.48,15.38,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total States,252.11,68.99,40.56,70.44,432.11,34.55,397.60,222.21,22.66,244.85,32.28,154.34,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Union Territories,,,,,,,,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Andaman & Nicobar,0.262,Nil,0.046,Nil,0.308,0.022,0.286,0.001,0.012,0.013,0.014,0.272,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chandigarh,0.015,0.001,0.005,0.001,0.022,0.002,0.019,0.000,0.000,0.000,0.000,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Dadara & Nagar Haveli,0.043,0.003,0.009,0.007,0.062,0.003,0.059,0.007,0.006,0.013,0.010,0.042,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Daman & Diu,0.014,0.002,0.000,0.002,0.018,0.001,0.017,0.014,0.002,0.016,0.003,0.000,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Lakshdweep,0.000,0.000,0.000,0.000,0.011,0.007,0.0035,0.000,0.0023,0.0023,0.000,0.000,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Puducherry,0.089,0.060,0.008,0.032,0.189,0.019,0.170,0.124,0.029,0.153,0.032,0.057,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Uts,0.42,0.07,0.07,0.04,0.61,0.05,0.56,0.15,0.05,0.20,0.06,0.37,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Total,252.53,69.06,40.63,70.48,432.72,34.60,398.16,222.36,22.71,245.05,32.34,154.71,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Monsoon Season,None,Non Monsoon Season,None,Total,,,Irrigation,"Domestic &
Industrial
Water
Supply",Total,,,,None,None,Discharge,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Recharge
from Rainfall","Recharge
From Other
Sources","Recharge
from
Rainfall","Recharge
From Other
Sources",None,,,None,None,None,,,,None,None,"During Non
Monsoon
Period",None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,4,5,6,7,,,10,11,12,,,,1,2,8,9,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,109985,18487,22881,19825,171178,,,46677,8552,55229,,,,1,Guntur,15819,155359,10461,98221,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69126,18403,43050,28717,159296,,,104597,9585,114182,,,,2,Vizianagaram,15140,144156,13376,38123,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,138586,13441,10345,24058,186430,,,103764,16033,119797,,,,3,Visakhapatnam,18064,168366,18852,47361,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60450,38551,36600,25814,161415,,,32646,4451,37097,,,,4,East Godavari,14536,146879,13177,101056,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48619,103483,31345,16859,200306,,,28288,6642,34930,,,,5,Srikakulam,19729,180577,14624,137823,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50584,16543,40086,16432,123645,,,62328,6105,68433,,,,6,Nellore,8284,115361,8804,44229,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,95298,27618,19069,53391,195376,,,108666,4620,113286,,,,7,Kurnool,18097,177279,11415,60269,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
